Ticker,CIK,Sector,MarketCap_B,Status
WCN,1318220,Industrials,40.85,Pass
HEI,46619,Industrials,40.79,Pass
PRYMF,1437672,Industrials,40.73,Pass
FMX,1061736,Consumer Defensive,40.43,Pass
GBTC,1588489,Unknown,40.41,Pass
DKILF,1446519,Industrials,40.41,Pass
SHLAF,1655190,Industrials,40.4,Pass
ALC,1167379,Healthcare,40.35,Pass
MCHP,827054,Technology,40.31,Pass
PPRUF,1445465,Consumer Cyclical,40.03,Pass
CCL,815097,Consumer Cyclical,39.92,Pass
CUK,1125259,Consumer Cyclical,39.91,Pass
ERIXF,717826,Technology,39.83,Pass
TTWO,946581,Communication Services,39.66,Pass
ERIC,717826,Technology,39.57,Pass
DIA,1041130,Unknown,39.38,Pass
CPNG,1834584,Consumer Cyclical,38.92,Pass
MDLN,2046386,Healthcare,38.9,Pass
HSY,47111,Consumer Defensive,38.89,Pass
LVS,1300514,Consumer Cyclical,37.8,Pass
NSKFF,1535759,Industrials,37.73,Pass
TEVA,818686,Healthcare,37.71,Pass
KBGGY,1535759,Industrials,37.61,Pass
ADYYF,1788707,Technology,37.18,Pass
ROP,882835,Technology,36.86,Pass
STMEF,932787,Technology,36.78,Pass
ONC,1651308,Healthcare,36.75,Pass
TGOPF,1078716,Unknown,36.71,Pass
LYV,1335258,Communication Services,36.59,Pass
RSMDF,943819,Healthcare,36.26,Pass
VIK,1745201,Consumer Cyclical,36.21,Pass
STM,932787,Technology,36.16,Pass
MDY,936958,Unknown,36.1,Pass
EME,105634,Industrials,35.98,Pass
VOD,839923,Communication Services,35.97,Pass
QSR,1618756,Consumer Cyclical,35.89,Pass
SHLRF,1655190,Industrials,35.7,Pass
SYY,96021,Consumer Defensive,35.48,Pass
HEI-A,46619,Industrials,35.39,Pass
SYM,1837240,Industrials,35.38,Pass
TCOM,1269238,Consumer Cyclical,35.37,Pass
KDP,1418135,Consumer Defensive,35.33,Pass
DLMAF,2073893,Consumer Defensive,34.7,Pass
DLMAY,2073893,Consumer Defensive,34.09,Pass
TRPCF,1269238,Consumer Cyclical,34.06,Pass
VODPF,839923,Communication Services,33.92,Pass
A,1090872,Healthcare,33.88,Pass
CUKPF,1125259,Consumer Cyclical,33.61,Pass
GEHC,1932393,Healthcare,33.54,Pass
